"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U7";"LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y";1;"LSM6DS3";;;
2;"C2,C17,C5,C15,C14,C13";"C_0402_1005Metric";6;"2.2 uF";;;
3;"J3";"GCT_USB4080-03-A_REVA";1;"USB4080-03-A_REVA";;;
4;"AE2";"XCVR_YC0010AA";1;"Antenna";;;
5;"J7,J6";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";2;"Conn_01x02_Female";;;
6;"J1,J2";"TestPoint_Loop_D3.80mm_Drill2.8mm";2;"Conn_01x01_Male";;;
7;"R13,R12";"R_0402_1005Metric";2;"4.7M";;;
8;"D1";"LED_RGB_0603_a4";1;"LED_BGRA";;;
9;"D2";"LED_0603_1608Metric";1;"LED GREEN";;;
10;"J5,J4";"conn_06_20";2;"Conn_01x01_Male";;;
11;"U6";"SOT-23-5";1;"MCP73831-2-OT";;;
12;"U5";"SOT-23-5";1;"74AHC1G32";;;
13;"U4";"TSOP-5_1.65x3.05mm_P0.95mm";1;"BD2226G";;;
14;"U3";"SOT-23";1;"XC6206P332MR_SOT23";;;
15;"U2";"QFN-48-1EP_6x6mm_Pitch0.4mm";1;"nRF52810-QFxx";;;
16;"U1";"SOT-23-8";1;"AD8293G80ARJZ-R2";;;
17;"SW1";"SW_SPST_CK_RS282G05A3";1;"SW_Push";;;
18;"L2";"L_0402_1005Metric";1;"15 nH";;;
19;"L1";"L_0603_1608Metric";1;"10 uH";;;
20;"C9,C6,C1,C4,C16";"C_0402_1005Metric";5;"100 nF";;;
21;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"32MHz";;;
22;"L3";"L_0402_1005Metric";1;"5.1 nH";;;
23;"SC1";"SWD_POGO";1;"SWD_POGO";;;
24;"C8";"C_0402_1005Metric";1;"0.8 pF";;;
25;"C12,C10";"C_0402_1005Metric";2;"12 pF";;;
26;"C3";"C_0402_1005Metric";1;"100 pF";;;
27;"C7";"C_0402_1005Metric";1;"39 nF";;;
28;"R2,R3,R5,R8";"R_0402_1005Metric";4;"2k";;;
29;"R1,R10";"R_0402_1005Metric";2;"200k";;;
30;"R6";"R_0402_1005Metric";1;"22k";;;
31;"R9";"R_0402_1005Metric";1;"10k";;;
32;"R7,R4,R11";"R_0402_1005Metric";3;"100k";;;
33;"C11";"C_0402_1005Metric";1;"680 pF";;;
